Ship_Type,Ship_Mode_Detail,Segment,Country,City,State,County_or_State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin (%),Unit Selling Price (After Discount),Profit per Unit,Estimated List Price (Before Discount),Discount Impact (Revenue Lost Due to Discount)
Standard,Class,Consumer,United,States,Minneapolis,Minnesota,55407,Central,Technology,Phones,377.97,3,0%,105.8316,28%,125.99,35.2772,125.99,0
Standard,Class,Consumer,United,States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,123.96,3,0%,11.1564,9%,41.32,3.7188,41.32,0
First,Class,Consumer,United,States,Wilmington,Delaware,19805,East,Technology,Phones,391.98,2,0%,113.6742,29%,195.99,56.8371,195.99,0
Second,Class,Consumer,United,States,Houston,Texas,77070,Central,Furniture,Tables,744.1,5,30%,-95.67,-13%,148.82,-19.134,212.6,318.9
Second,Class,Consumer,United,States,Houston,Texas,77070,Central,Furniture,Tables,401.59,2,30%,-131.951,-33%,200.795,-65.9755,286.85,172.11
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,466.158,7,40%,-93.2316,-20%,66.594,-13.3188,110.99,310.772
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,10.312,1,20%,-1.289,-13%,10.312,-1.289,12.89,2.578
Standard,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Tables,214.95,5,50%,-120.372,-56%,42.99,-24.0744,85.98,214.95
Standard,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Technology,Phones,35.04,4,20%,-7.008,-20%,8.76,-1.752,10.95,8.76
Standard,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Furnishings,10.776,3,60%,-4.8492,-45%,3.592,-1.6164,8.98,16.164
Second,Class,Consumer,United,States,Philadelphia,Pennsylvania,19140,East,Technology,Accessories,16.776,3,20%,5.0328,30%,5.592,1.6776,6.99,4.194
Standard,Class,Consumer,United,States,Deltona,Florida,32725,South,Furniture,Chairs,186.304,4,20%,13.9728,8%,46.576,3.4932,58.22,46.576
Standard,Class,Corporate,United,States,Columbus,Georgia,31907,South,Technology,Accessories,66.36,4,0%,23.226,35%,16.59,5.8065,16.59,0
Same,Day,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Furnishings,17.496,9,60%,-7.4358,-43%,1.944,-0.8262,4.86,26.244
Standard,Class,Corporate,United,States,Lafayette,Louisiana,70506,South,Technology,Accessories,99.98,2,0%,42.9914,43%,49.99,21.4957,49.99,0
Standard,Class,Corporate,United,States,Anaheim,California,92804,West,Furniture,Furnishings,101.12,8,0%,37.4144,37%,12.64,4.6768,12.64,0
Standard,Class,Consumer,United,States,Deltona,Florida,32725,South,Technology,Phones,107.976,3,20%,37.7916,35%,35.992,12.5972,44.99,26.994
First,Class,Consumer,United,States,Kirkwood,Missouri,63122,Central,Furniture,Furnishings,212.94,3,0%,34.0704,16%,70.98,11.3568,70.98,0
Second,Class,Corporate,United,States,Peoria,Arizona,85345,West,Technology,Phones,105.584,2,20%,9.2386,9%,52.792,4.6193,65.99,26.396
Second,Class,Corporate,United,States,Peoria,Arizona,85345,West,Technology,Phones,68.72,2,20%,-14.603,-21%,34.36,-7.3015,42.95,17.18
Standard,Class,Corporate,United,States,Seattle,Washington,98103,West,Furniture,Bookcases,1367.84,8,0%,259.8896,19%,170.98,32.4862,170.98,0
Second,Class,Consumer,United,States,Taylor,Michigan,48180,Central,Furniture,Chairs,301.96,2,0%,33.2156,11%,150.98,16.6078,150.98,0
Standard,Class,Consumer,United,States,Pasadena,California,91104,West,Furniture,Chairs,170.352,3,20%,-17.0352,-10%,56.784,-5.6784,70.98,42.588
Standard,Class,Consumer,United,States,Midland,Michigan,48640,Central,Furniture,Chairs,563.94,3,0%,112.788,20%,187.98,37.596,187.98,0
Second,Class,Corporate,United,States,Detroit,Michigan,48205,Central,Furniture,Chairs,3504.9,5,0%,700.98,20%,700.98,140.196,700.98,0
Standard,Class,Consumer,United,States,Waco,Texas,76706,Central,Furniture,Bookcases,328.3992,3,32%,-91.7586,-28%,109.4664,-30.5862,160.98,154.5408
Standard,Class,Consumer,United,States,Columbus,Indiana,47201,Central,Technology,Accessories,199.96,4,0%,15.9968,8%,49.99,3.9992,49.99,0
Standard,Class,Consumer,United,States,Columbus,Indiana,47201,Central,Furniture,Chairs,1516.2,7,0%,394.212,26%,216.6,56.316,216.6,0
Standard,Class,Consumer,United,States,Pasadena,Texas,77506,Central,Technology,Accessories,167.952,6,20%,-27.2922,-16%,27.992,-4.5487,34.99,41.988
Standard,Class,Consumer,United,States,Kent,Washington,98031,West,Technology,Phones,43.6,5,20%,4.36,10%,8.72,0.872,10.9,10.9
Standard,Class,Consumer,United,States,Oakland,California,94601,West,Furniture,Furnishings,104.23,7,0%,28.1421,27%,14.89,4.0203,14.89,0
Same,Day,Consumer,United,States,Detroit,Michigan,48205,Central,Furniture,Chairs,498.26,7,0%,134.5302,27%,71.18,19.2186,71.18,0
Second,Class,Consumer,United,States,Fresno,California,93727,West,Furniture,Tables,697.16,5,20%,8.7145,1%,139.432,1.7429,174.29,174.29
Second,Class,Consumer,United,States,Fresno,California,93727,West,Furniture,Furnishings,30.93,1,0%,12.6813,41%,30.93,12.6813,30.93,0
Standard,Class,Corporate,United,States,Texarkana,Arkansas,71854,South,Furniture,Chairs,605.34,6,0%,145.2816,24%,100.89,24.2136,100.89,0
Standard,Class,Consumer,United,States,Columbia,Maryland,21044,East,Furniture,Furnishings,164.22,3,0%,50.9082,31%,54.74,16.9694,54.74,0
Standard,Class,Consumer,United,States,Columbia,Maryland,21044,East,Furniture,Bookcases,362.94,3,0%,36.294,10%,120.98,12.098,120.98,0
Standard,Class,Consumer,United,States,Columbia,Maryland,21044,East,Technology,Accessories,59.98,2,0%,26.3912,44%,29.99,13.1956,29.99,0
Second,Class,Consumer,United,States,Seattle,Washington,98105,West,Technology,Accessories,43.5,3,0%,10.875,25%,14.5,3.625,14.5,0
Standard,Class,Consumer,United,States,Columbus,Georgia,31907,South,Technology,Accessories,249.95,5,0%,19.996,8%,49.99,3.9992,49.99,0
Second,Class,Corporate,United,States,Bethlehem,Pennsylvania,18018,East,Furniture,Chairs,99.372,2,30%,-7.098,-7%,49.686,-3.549,70.98,42.588
Second,Class,Corporate,United,States,Bethlehem,Pennsylvania,18018,East,Furniture,Furnishings,33.568,2,20%,-5.4548,-16%,16.784,-2.7274,20.98,8.392
Second,Class,Consumer,United,States,Burlington,Vermont,5408,East,Furniture,Chairs,715.2,3,0%,178.8,25%,238.4,59.6,238.4,0
Standard,Class,Corporate,United,States,Fayetteville,Arkansas,72701,South,Technology,Accessories,159.8,4,0%,70.312,44%,39.95,17.578,39.95,0
Standard,Class,Corporate,United,States,Fayetteville,Arkansas,72701,South,Technology,Accessories,44.75,5,0%,8.5025,19%,8.95,1.7005,8.95,0
Standard,Class,Consumer,United,States,Milwaukee,Wisconsin,53209,Central,Technology,Accessories,13.48,1,0%,1.8872,14%,13.48,1.8872,13.48,0
Standard,Class,Corporate,United,States,Rochester,Minnesota,55901,Central,Furniture,Furnishings,6.16,2,0%,2.9568,48%,3.08,1.4784,3.08,0
First,Class,Consumer,United,States,Louisville,Colorado,80027,West,Furniture,Bookcases,89.991,3,70%,-152.9847,-170%,29.997,-50.9949,99.99,209.979
Standard,Class,Consumer,United,States,Houston,Texas,77036,Central,Furniture,Chairs,966.7,5,30%,-13.81,-1%,193.34,-2.762,276.2,414.3
Standard,Class,Consumer,United,States,Medina,Ohio,44256,East,Furniture,Tables,51.588,1,40%,-15.4764,-30%,51.588,-15.4764,85.98,34.392
Standard,Class,Corporate,United,States,Springfield,Virginia,22153,South,Furniture,Tables,2275.5,10,0%,386.835,17%,227.55,38.6835,227.55,0
Standard,Class,Corporate,United,States,Springfield,Virginia,22153,South,Technology,Accessories,1979.7,6,0%,653.301,33%,329.95,108.8835,329.95,0
Standard,Class,Consumer,United,States,Decatur,Illinois,62521,Central,Furniture,Chairs,37.296,2,30%,-1.0656,-3%,18.648,-0.5328,26.64,15.984
First,Class,Consumer,United,States,Houston,Texas,77095,Central,Furniture,Chairs,191.058,3,30%,-46.3998,-24%,63.686,-15.4666,90.98,81.882
Standard,Class,Consumer,United,States,Lakewood,California,90712,West,Furniture,Furnishings,25.08,6,0%,9.0288,36%,4.18,1.5048,4.18,0
Standard,Class,Consumer,United,States,Houston,Texas,77036,Central,Technology,Phones,31.92,2,20%,2.394,8%,15.96,1.197,19.95,7.98
Standard,Class,Consumer,United,States,Newark,Delaware,19711,East,Furniture,Furnishings,10.68,4,0%,4.0584,38%,2.67,1.0146,2.67,0
Standard,Class,Corporate,United,States,Dallas,Texas,75220,Central,Technology,Phones,267.96,5,20%,16.7475,6%,53.592,3.3495,66.99,66.99
Standard,Class,Corporate,United,States,Dallas,Texas,75217,Central,Technology,Phones,329.584,2,20%,37.0782,11%,164.792,18.5391,205.99,82.396
Standard,Class,Consumer,United,States,Wichita,Kansas,67212,Central,Furniture,Furnishings,70.56,6,0%,23.9904,34%,11.76,3.9984,11.76,0
Standard,Class,Consumer,United,States,Houston,Texas,77041,Central,Technology,Phones,151.192,1,20%,13.2293,9%,151.192,13.2293,188.99,37.798
Standard,Class,Consumer,United,States,Seattle,Washington,98103,West,Technology,Phones,88.776,3,20%,7.7679,9%,29.592,2.5893,36.99,22.194
Standard,Class,Corporate,United,States,Houston,Texas,77041,Central,Furniture,Tables,347.361,7,30%,-69.4722,-20%,49.623,-9.9246,70.89,148.869
Standard,Class,Corporate,United,States,Seattle,Washington,98103,West,Technology,Accessories,98.16,6,0%,9.816,10%,16.36,1.636,16.36,0
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,358.2,3,40%,41.79,12%,119.4,13.93,199,238.8
Standard,Class,Consumer,United,States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,545.916,14,40%,72.7888,13%,38.994,5.1992,64.99,363.944
Standard,Class,Corporate,United,States,Wilmington,Delaware,19805,East,Furniture,Bookcases,1025.88,6,0%,235.9524,23%,170.98,39.3254,170.98,0
First,Class,Consumer,United,States,Seattle,Washington,98103,West,Technology,Accessories,71.98,2,0%,15.1158,21%,35.99,7.5579,35.99,0
First,Class,Consumer,United,States,Seattle,Washington,98103,West,Technology,Accessories,79.98,2,0%,26.3934,33%,39.99,13.1967,39.99,0
First,Class,Consumer,United,States,Wichita,Kansas,67212,Central,Technology,Phones,224.75,5,0%,62.93,28%,44.95,12.586,44.95,0
Standard,Class,Consumer,United,States,Chicago,Illinois,60653,Central,Technology,Phones,39.984,2,20%,-8.9964,-23%,19.992,-4.4982,24.99,9.996
First,Class,Consumer,United,States,Houston,Texas,77041,Central,Technology,Phones,150.384,2,20%,15.0384,10%,75.192,7.5192,93.99,37.596
Second,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,280.782,3,40%,-60.8361,-22%,93.594,-20.2787,155.99,187.188
Second,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,31.984,2,20%,1.1994,4%,15.992,0.5997,19.99,7.996
Standard,Class,Consumer,United,States,Edmonds,Washington,98026,West,Furniture,Furnishings,68.46,2,0%,20.538,30%,34.23,10.269,34.23,0
First,Class,Consumer,United,States,Scottsdale,Arizona,85254,West,Furniture,Bookcases,181.47,5,70%,-320.597,-177%,36.294,-64.1194,120.98,423.43
Standard,Class,Consumer,United,States,Parker,Colorado,80134,West,Furniture,Furnishings,13.36,5,20%,4.008,30%,2.672,0.8016,3.34,3.34
Standard,Class,Consumer,United,States,Parker,Colorado,80134,West,Furniture,Bookcases,102.018,7,70%,-183.6324,-180%,14.574,-26.2332,48.58,238.042
Standard,Class,Consumer,United,States,Miami,Florida,33142,South,Furniture,Chairs,419.136,4,20%,-68.1096,-16%,104.784,-17.0274,130.98,104.784
Second,Class,Corporate,United,States,Jacksonville,Florida,32216,South,Technology,Phones,23.976,3,20%,-5.6943,-24%,7.992,-1.8981,9.99,5.994
Second,Class,Corporate,United,States,Jacksonville,Florida,32216,South,Furniture,Chairs,218.352,3,20%,-19.1058,-9%,72.784,-6.3686,90.98,54.588
Standard,Class,Consumer,United,States,Marion,Ohio,43302,East,Technology,Accessories,63.92,2,20%,19.176,30%,31.96,9.588,39.95,15.98
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,3.312,1,20%,0.6624,20%,3.312,0.6624,4.14,0.828
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Technology,Phones,859.2,4,40%,-186.16,-22%,214.8,-46.54,358,572.8
Standard,Class,Consumer,United,States,Chicago,Illinois,60653,Central,Technology,Phones,11.12,2,20%,3.475,31%,5.56,1.7375,6.95,2.78
Second,Class,Corporate,United,States,Huntsville,Alabama,35810,South,Technology,Accessories,1319.96,4,0%,527.984,40%,329.99,131.996,329.99,0
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,239.96,10,30%,-10.284,-4%,23.996,-1.0284,34.28,102.84
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,54.768,2,20%,6.846,13%,27.384,3.423,34.23,13.692
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,255.968,4,20%,-28.7964,-11%,63.992,-7.1991,79.99,63.992
Standard,Class,Corporate,United,States,Jacksonville,Florida,32216,South,Technology,Phones,79.96,5,20%,27.986,35%,15.992,5.5972,19.99,19.99
Standard,Class,Consumer,United,States,Omaha,Nebraska,68104,Central,Technology,Phones,2479.96,4,0%,743.988,30%,619.99,185.997,619.99,0
Standard,Class,Consumer,United,States,Chicago,Illinois,60653,Central,Furniture,Chairs,181.986,2,30%,-54.5958,-30%,90.993,-27.2979,129.99,77.994
Standard,Class,Corporate,United,States,Tucson,Arizona,85705,West,Furniture,Tables,455.97,6,50%,-218.8656,-48%,75.995,-36.4776,151.99,455.97
First,Class,Consumer,United,States,Draper,Utah,84020,West,Furniture,Furnishings,25.16,2,0%,10.5672,42%,12.58,5.2836,12.58,0
First,Class,Consumer,United,States,Draper,Utah,84020,West,Technology,Phones,126.56,4,20%,47.46,38%,31.64,11.865,39.55,31.64
Standard,Class,Corporate,United,States,Houston,Texas,77036,Central,Technology,Accessories,79.512,3,20%,20.8719,26%,26.504,6.9573,33.13,19.878
Standard,Class,Corporate,United,States,Houston,Texas,77036,Central,Furniture,Bookcases,67.9932,1,32%,-12.9987,-19%,67.9932,-12.9987,99.99,31.9968
Second,Class,Corporate,United,States,Montgomery,Alabama,36116,South,Furniture,Furnishings,10.16,2,0%,3.4544,34%,5.08,1.7272,5.08,0
Standard,Class,Corporate,United,States,Jackson,Mississippi,39212,South,Furniture,Furnishings,6.16,2,0%,1.9712,32%,3.08,0.9856,3.08,0
Second,Class,Corporate,United,States,Atlanta,Georgia,30318,South,Technology,Copiers,2999.95,5,0%,1439.976,48%,599.99,287.9952,599.99,0
Standard,Class,Corporate,United,States,Columbus,Ohio,43229,East,Technology,Phones,36.738,1,40%,-9.1845,-25%,36.738,-9.1845,61.23,24.492
Standard,Class,Corporate,United,States,Columbus,Ohio,43229,East,Technology,Phones,179.94,2,40%,-44.985,-25%,89.97,-22.4925,149.95,119.96
Standard,Class,Consumer,United,States,Pasadena,California,91104,West,Furniture,Furnishings,383.64,6,0%,122.7648,32%,63.94,20.4608,63.94,0
Same,Day,Corporate,United,States,Lawrence,Massachusetts,1841,East,Technology,Phones,391.98,2,0%,109.7544,28%,195.99,54.8772,195.99,0
Same,Day,Corporate,United,States,Lawrence,Massachusetts,1841,East,Technology,Phones,437.85,3,0%,131.355,30%,145.95,43.785,145.95,0
Same,Day,Consumer,United,States,Columbus,Ohio,43229,East,Technology,Accessories,142.488,3,20%,-3.5622,-3%,47.496,-1.1874,59.37,35.622
Standard,Class,Consumer,United,States,Monroe,Louisiana,71203,South,Technology,Accessories,659.9,2,0%,217.767,33%,329.95,108.8835,329.95,0
First,Class,Consumer,United,States,Cincinnati,Ohio,45231,East,Technology,Accessories,53.04,3,20%,-4.641,-9%,17.68,-1.547,22.1,13.26
Standard,Class,Corporate,United,States,Seattle,Washington,98105,West,Technology,Accessories,843.9,2,0%,371.316,44%,421.95,185.658,421.95,0
Standard,Class,Corporate,United,States,Seattle,Washington,98105,West,Technology,Accessories,1496.16,9,0%,224.424,15%,166.24,24.936,166.24,0
Standard,Class,Corporate,United,States,Memphis,Tennessee,38109,South,Furniture,Furnishings,19.52,2,20%,5.368,28%,9.76,2.684,12.2,4.88
Standard,Class,Corporate,United,States,Miami,Florida,33180,South,Furniture,Chairs,273.552,3,20%,-13.6776,-5%,91.184,-4.5592,113.98,68.388
Standard,Class,Consumer,United,States,Chesapeake,Virginia,23320,South,Technology,Accessories,234.45,3,0%,103.158,44%,78.15,34.386,78.15,0
Standard,Class,Consumer,United,States,Chesapeake,Virginia,23320,South,Furniture,Tables,1256.22,6,0%,75.3732,6%,209.37,12.5622,209.37,0
Standard,Class,Corporate,United,States,Dearborn,Michigan,48126,Central,Furniture,Furnishings,60.84,3,0%,23.1192,38%,20.28,7.7064,20.28,0
Standard,Class,Corporate,United,States,Alexandria,Virginia,22304,South,Furniture,Furnishings,192.22,14,0%,69.1992,36%,13.73,4.9428,13.73,0
Standard,Class,Consumer,United,States,Seattle,Washington,98103,West,Technology,Accessories,389.97,3,0%,132.5898,34%,129.99,44.1966,129.99,0
Second,Class,Consumer,United,States,Pocatello,Idaho,83201,West,Furniture,Furnishings,355.36,4,0%,92.3936,26%,88.84,23.0984,88.84,0
Second,Class,Consumer,United,States,Pocatello,Idaho,83201,West,Technology,Phones,140.376,3,20%,8.7735,6%,46.792,2.9245,58.49,35.094
Standard,Class,Corporate,United,States,Seattle,Washington,98115,West,Technology,Phones,57.408,6,20%,5.7408,10%,9.568,0.9568,11.96,14.352
Standard,Class,Corporate,United,States,Seattle,Washington,98115,West,Technology,Accessories,27.6,4,0%,2.208,8%,6.9,0.552,6.9,0
Standard,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Furnishings,38.976,3,60%,-50.6688,-130%,12.992,-16.8896,32.48,58.464
Standard,Class,Consumer,United,States,Athens,Georgia,30605,South,Technology,Phones,1049.93,7,0%,293.9804,28%,149.99,41.9972,149.99,0
Same,Day,Consumer,United,States,Apopka,Florida,32712,South,Furniture,Furnishings,129.888,6,20%,12.9888,10%,21.648,2.1648,27.06,32.472
Standard,Class,Corporate,United,States,Baltimore,Maryland,21215,East,Technology,Phones,134.99,1,0%,36.4473,27%,134.99,36.4473,134.99,0
Standard,Class,Corporate,United,States,Baltimore,Maryland,21215,East,Furniture,Chairs,542.94,3,0%,141.1644,26%,180.98,47.0548,180.98,0
Standard,Class,Consumer,United,States,Marion,Ohio,43302,East,Furniture,Tables,136.53,1,40%,-52.3365,-38%,136.53,-52.3365,227.55,91.02
Standard,Class,Consumer,United,States,Marion,Ohio,43302,East,Technology,Accessories,263.96,1,20%,42.8935,16%,263.96,42.8935,329.95,65.99
Same,Day,Consumer,United,States,Chicago,Illinois,60653,Central,Technology,Phones,36.792,1,20%,4.1391,11%,36.792,4.1391,45.99,9.198
First,Class,Corporate,United,States,Springfield,Oregon,97477,West,Technology,Accessories,91.176,3,20%,4.5588,5%,30.392,1.5196,37.99,22.794
First,Class,Corporate,United,States,Springfield,Oregon,97477,West,Technology,Accessories,159.968,4,20%,29.994,19%,39.992,7.4985,49.99,39.992
Standard,Class,Corporate,United,States,Houston,Texas,77095,Central,Technology,Phones,946.344,7,20%,118.293,13%,135.192,16.899,168.99,236.586
Standard,Class,Consumer,United,States,Madison,Wisconsin,53711,Central,Technology,Accessories,178.11,3,0%,32.0598,18%,59.37,10.6866,59.37,0
Standard,Class,Consumer,United,States,Madison,Wisconsin,53711,Central,Furniture,Bookcases,459.92,4,0%,41.3928,9%,114.98,10.3482,114.98,0
First,Class,Corporate,United,States,Milford,Connecticut,6460,East,Furniture,Bookcases,638.82,9,0%,185.2578,29%,70.98,20.5842,70.98,0
First,Class,Corporate,United,States,Milford,Connecticut,6460,East,Furniture,Furnishings,25.16,2,0%,8.5544,34%,12.58,4.2772,12.58,0
First,Class,Corporate,United,States,Fairfield,California,94533,West,Furniture,Furnishings,26.48,1,0%,10.0624,38%,26.48,10.0624,26.48,0
First,Class,Corporate,United,States,Fairfield,California,94533,West,Technology,Machines,532.72,2,20%,53.272,10%,266.36,26.636,332.95,133.18
First,Class,Corporate,United,States,Fairfield,California,94533,West,Furniture,Furnishings,21.56,7,0%,6.8992,32%,3.08,0.9856,3.08,0
Standard,Class,Consumer,United,States,Richmond,Kentucky,40475,South,Furniture,Chairs,866.4,4,0%,225.264,26%,216.6,56.316,216.6,0
First,Class,Consumer,United,States,Hialeah,Florida,33012,South,Technology,Machines,32.985,3,50%,-1.9791,-6%,10.995,-0.6597,21.99,32.985
Standard,Class,Consumer,United,States,Redding,California,96003,West,Technology,Phones,333.576,3,20%,25.0182,8%,111.192,8.3394,138.99,83.394
Second,Class,Corporate,United,States,Houston,Texas,77070,Central,Technology,Accessories,85.2,6,20%,20.235,24%,14.2,3.3725,17.75,21.3
Standard,Class,Corporate,United,States,Springfield,Missouri,65807,Central,Technology,Copiers,599.99,1,0%,233.9961,39%,599.99,233.9961,599.99,0
Standard,Class,Consumer,United,States,Springfield,Oregon,97477,West,Furniture,Bookcases,217.764,6,70%,-384.7164,-177%,36.294,-64.1194,120.98,508.116
Second,Class,Corporate,United,States,Jacksonville,Florida,32216,South,Furniture,Furnishings,12.32,5,20%,1.848,15%,2.464,0.3696,3.08,3.08
First,Class,Consumer,United,States,Bakersfield,California,93309,West,Furniture,Chairs,72.784,1,20%,0,0%,72.784,0,90.98,18.196
First,Class,Consumer,United,States,Bakersfield,California,93309,West,Furniture,Furnishings,51.75,1,0%,15.525,30%,51.75,15.525,51.75,0
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Chairs,421.372,2,30%,-6.0196,-1%,210.686,-3.0098,300.98,180.588
Standard,Class,Corporate,United,States,Dallas,Texas,75220,Central,Furniture,Bookcases,205.9992,3,32%,-27.2646,-13%,68.6664,-9.0882,100.98,96.9408
Standard,Class,Corporate,United,States,Chattanooga,Tennessee,37421,South,Furniture,Furnishings,132.224,4,20%,-18.1808,-14%,33.056,-4.5452,41.32,33.056
First,Class,Consumer,United,States,Tampa,Florida,33614,South,Technology,Accessories,11.672,1,20%,-0.7295,-6%,11.672,-0.7295,14.59,2.918
Standard,Class,Consumer,United,States,Richmond,Indiana,47374,Central,Furniture,Tables,581.96,2,0%,104.7528,18%,290.98,52.3764,290.98,0
Standard,Class,Consumer,United,States,Richmond,Indiana,47374,Central,Furniture,Chairs,29.98,1,0%,8.0946,27%,29.98,8.0946,29.98,0
Standard,Class,Consumer,United,States,Miami,Florida,33178,South,Technology,Accessories,72.6,5,20%,-8.1675,-11%,14.52,-1.6335,18.15,18.15
Standard,Class,Corporate,United,States,Dallas,Texas,75220,Central,Furniture,Furnishings,14.76,5,60%,-11.439,-78%,2.952,-2.2878,7.38,22.14
Second,Class,Consumer,United,States,Concord,California,94521,West,Furniture,Bookcases,239.666,2,15%,14.098,6%,119.833,7.049,140.98,42.294
Standard,Class,Consumer,United,States,Conway,Arkansas,72032,South,Furniture,Tables,301.96,2,0%,45.294,15%,150.98,22.647,150.98,0
Second,Class,Corporate,United,States,Meriden,Connecticut,6450,East,Furniture,Chairs,1133.35,5,0%,294.671,26%,226.67,58.9342,226.67,0
Same,Day,Corporate,United,States,Anaheim,California,92804,West,Furniture,Tables,1293.488,7,20%,80.843,6%,184.784,11.549,230.98,323.372
Standard,Class,Consumer,United,States,Bloomington,Indiana,47401,Central,Furniture,Furnishings,127.95,3,0%,21.7515,17%,42.65,7.2505,42.65,0
Standard,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Technology,Accessories,81.576,3,20%,2.0394,3%,27.192,0.6798,33.99,20.394
Standard,Class,Consumer,United,States,Richmond,Indiana,47374,Central,Furniture,Furnishings,71.12,4,0%,22.0472,31%,17.78,5.5118,17.78,0
Standard,Class,Consumer,United,States,Richmond,Indiana,47374,Central,Technology,Phones,259.96,4,0%,124.7808,48%,64.99,31.1952,64.99,0
Standard,Class,Corporate,United,States,Bellingham,Washington,98226,West,Technology,Accessories,1099.5,10,0%,362.835,33%,109.95,36.2835,109.95,0
Standard,Class,Corporate,United,States,Decatur,Alabama,35601,South,Furniture,Tables,1215.92,8,0%,316.1392,26%,151.99,39.5174,151.99,0
Standard,Class,Corporate,United,States,Fayetteville,Arkansas,72701,South,Furniture,Furnishings,8.92,4,0%,3.9248,44%,2.23,0.9812,2.23,0
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Furniture,Bookcases,87.21,3,50%,-45.3492,-52%,29.07,-15.1164,58.14,87.21
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,683.988,2,40%,-113.998,-17%,341.994,-56.999,569.99,455.992
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,16.776,3,20%,4.8231,29%,5.592,1.6077,6.99,4.194
First,Class,Consumer,United,States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,527.92,2,20%,85.787,16%,263.96,42.8935,329.95,131.98
Standard,Class,Consumer,United,States,Plano,Texas,75023,Central,Technology,Phones,95.992,1,20%,9.5992,10%,95.992,9.5992,119.99,23.998
Same,Day,Corporate,United,States,Southaven,Mississippi,38671,South,Technology,Accessories,299.97,3,0%,125.9874,42%,99.99,41.9958,99.99,0
Second,Class,Corporate,United,States,Reading,Pennsylvania,19601,East,Furniture,Furnishings,23.968,2,20%,7.7896,33%,11.984,3.8948,14.98,5.992
Second,Class,Corporate,United,States,Reading,Pennsylvania,19601,East,Furniture,Bookcases,521.96,4,50%,-250.5408,-48%,130.49,-62.6352,260.98,521.96
First,Class,Consumer,United,States,Mesa,Arizona,85204,West,Technology,Phones,552,10,20%,34.5,6%,55.2,3.45,69,138
Standard,Class,Consumer,United,States,Hattiesburg,Mississippi,39401,South,Furniture,Furnishings,185.58,6,0%,76.0878,41%,30.93,12.6813,30.93,0
Standard,Class,Consumer,United,States,Hattiesburg,Mississippi,39401,South,Furniture,Bookcases,504.9,5,0%,126.225,25%,100.98,25.245,100.98,0
Same,Day,Corporate,United,States,Columbus,Ohio,43229,East,Furniture,Chairs,458.43,5,30%,-137.529,-30%,91.686,-27.5058,130.98,196.47
Same,Day,Corporate,United,States,Columbus,Ohio,43229,East,Furniture,Tables,328.59,3,40%,-147.8655,-45%,109.53,-49.2885,182.55,219.06
Standard,Class,Corporate,United,States,Caldwell,Idaho,83605,West,Furniture,Chairs,338.352,3,20%,4.2294,1%,112.784,1.4098,140.98,84.588
Standard,Class,Corporate,United,States,Phoenix,Arizona,85023,West,Furniture,Furnishings,87.96,3,20%,7.6965,9%,29.32,2.5655,36.65,21.99
Same,Day,Consumer,United,States,Kenner,Louisiana,70065,South,Technology,Accessories,71.98,2,0%,15.1158,21%,35.99,7.5579,35.99,0
Standard,Class,Corporate,United,States,Seattle,Washington,98115,West,Technology,Phones,71.96,5,20%,25.186,35%,14.392,5.0372,17.99,17.99
Same,Day,Consumer,United,States,Miami,Florida,33142,South,Furniture,Chairs,239.24,1,20%,23.924,10%,239.24,23.924,299.05,59.81
Standard,Class,Consumer,United,States,Georgetown,Kentucky,40324,South,Furniture,Furnishings,42.6,3,0%,16.614,39%,14.2,5.538,14.2,0
Second,Class,Corporate,United,States,Knoxville,Tennessee,37918,South,Furniture,Chairs,314.352,3,20%,-35.3646,-11%,104.784,-11.7882,130.98,78.588
